date,price
2007-01-23,37000
2007-01-24,37000
2007-01-25,37000
2007-01-26,37000
2007-01-27,37000
2007-01-28,37000
2007-01-29,37000
2007-01-30,37000
2007-01-31,37000
2007-02-01,37000
2007-02-02,37000
2007-02-03,37000
2007-02-04,37000
2007-02-05,37000
2007-02-06,37000
2007-02-07,37000
2007-02-08,37000
2007-02-09,38000
2007-02-10,38000
2007-02-11,38000
2007-02-12,38000
2007-02-13,38000
2007-02-14,38000
2007-02-15,38000
2007-02-16,38000
2007-02-17,38000
2007-02-18,38000
2007-02-19,38000
2007-02-20,38000
2007-02-21,38000
2007-02-22,38000
2007-02-23,38000
2007-02-24,38000
2007-02-25,38000
2007-02-26,38000
2007-02-27,38000
2007-02-28,38000
2007-03-01,38000
2007-03-02,38000
2007-03-03,38000
2007-03-04,38000
2007-03-05,38000
2007-03-06,38000
2007-03-07,38000
2007-03-08,38000
2007-03-09,38000
2007-03-10,38000
2007-03-11,38000
2007-03-12,38000
2007-03-13,38000
2007-03-14,38000
2007-03-15,38000
2007-03-16,38000
2007-03-17,38000
2007-03-18,38000
2007-03-19,38000
2007-03-20,38000
2007-03-21,38000
2007-03-22,38000
2007-03-23,38000
2007-03-24,38000
2007-03-25,38000
2007-03-26,38000
2007-03-27,38000
2007-03-28,38000
2007-03-29,38000
2007-03-30,38000
2007-03-31,38000
2007-04-01,38000
2007-04-02,38000
2007-04-03,38000
2007-04-04,38000
2007-04-05,38000
2007-04-06,38000
2007-04-07,38000
2007-04-08,38000
2007-04-09,38000
2007-04-10,38000
2007-04-11,38000
2007-04-12,38000
2007-04-13,38000
2007-04-14,38000
2007-04-15,38000
2007-04-16,38000
2007-04-17,38000
2007-04-18,38000
2007-04-19,38000
2007-04-20,38000
2007-04-21,38000
2007-04-22,38000
2007-04-23,38000
2007-04-24,39000
2007-04-25,39000
2007-04-26,39000
2007-04-27,39000
2007-04-28,39000
2007-04-29,39000
2007-04-30,39000
2007-05-01,39000
2007-05-02,39000
2007-05-03,39000
2007-05-04,39000
2007-05-05,39000
2007-05-06,39000
2007-05-07,39000
2007-05-08,39000
2007-05-09,39000
2007-05-10,39000
2007-05-11,39000
2007-05-12,39000
2007-05-13,39000
